indicator,location,country,value,lat,long,code,rank
Housing,AUS,Australia,7.8,-25.274398,133.775136,36,28
Housing,FRA,France,7.766666667,46.227638,2.213749,250,29
Housing,LUX,Luxembourg,7.7,49.815273,6.129583,442,30
Housing,IRL,Ireland,7.366666667,53.41291,-8.24389,372,31
Housing,SWE,Sweden,7.266666667,60.128161,18.643501,752,32
Housing,PRT,Portugal,7.233333333,39.399872,-8.224454,620,33
Housing,KOR,Korea,7.2,35.907757,127.766922,410,34
Housing,USA,United States,7.166666667,37.09024,-95.712891,840,35
Housing,SVN,Slovenia,7.033333333,46.151241,14.995463,705,36
Housing,NLD,Netherlands,6.966666667,52.132633,5.291266,528,37
Housing,NOR,Norway,6.666666667,60.472024,8.468946,578,38
Income,USA,United States,104167.8,37.09024,-95.712891,840,1
Income,CHE,Switzerland,79167.3,46.818188,8.227512,756,2
Income,JPN,Japan,60955.9,36.204824,138.252924,392,3
Income,BEL,Belgium,59482.1,50.503887,4.469936,56,4
Income,CAN,Canada,54151,56.130366,-106.346771,124,5
Income,LUX,Luxembourg,53826.2,49.815273,6.129583,442,6
Income,NZL,New Zealand,53146.6,-40.900557,174.885971,554,7
Income,NLD,Netherlands,50295.7,52.132633,5.291266,528,8
Income,SWE,Sweden,50043.6,60.128161,18.643501,752,9
Income,GBR,United Kingdom,49605.1,55.378051,-3.435973,826,10
Income,AUT,Austria,44460.6,47.516231,14.550072,40,11
Income,FRA,France,43034.3,46.227638,2.213749,250,12
Income,AUS,Australia,42139.9,-25.274398,133.775136,36,13
Income,DEU,Germany,41947.7,51.165691,10.451526,276,14
Income,ITA,Italy,41716.9,41.87194,12.56738,380,15
Income,ISL,Iceland,41713.9,64.963051,-19.020835,352,16
Income,DNK,Denmark,41482.2,56.26392,9.501785,208,17
Income,ISR,Israel,36939.7,31.046051,34.851612,376,18
Income,IRL,Ireland,28135.5,53.41291,-8.24389,372,19
Income,FIN,Finland,27066.9,61.92411,25.748151,246,20
Income,ESP,Spain,26627.4,40.463667,-3.74922,724,21
Income,KOR,Korea,25785.7,35.907757,127.766922,410,22
Income,NOR,Norway,25748.8,60.472024,8.468946,578,23
Income,PRT,Portugal,25619.7,39.399872,-8.224454,620,24
Income,CZE,Czech Republic,20061.3,49.817492,15.472962,203,25
Income,SVN,Slovenia,18498.5,46.151241,14.995463,705,26
Income,GRC,Greece,18375.3,39.074208,21.824312,300,27
Income,CHL,Chile,18199.1,-35.675147,-71.542969,152,28
Income,HUN,Hungary,17114.3,47.162494,19.503304,348,29
Income,EST,Estonia,16689,58.595272,25.013607,233,30
Income,POL,Poland,15925.2,51.919438,19.145136,616,31
Income,ZAF,South Africa,14452.5,-30.559482,22.937506,710,32
Income,SVK,Slovak Republic,14095.8,48.669026,19.699024,703,33
Income,MEX,Mexico,12406.2,23.634501,-102.552784,484,34
Income,LVA,Latvia,12321.9,56.879635,24.603189,428,35
Income,RUS,Russia,11412.4,61.52401,105.318756,643,36
Income,BRA,Brazil,10654.4,-14.235004,-51.92528,76,37
Income,TUR,Turkey,9556.1,38.963745,35.243322,792,38
Jobs,LUX,Luxembourg,14765.10636,49.815273,6.129583,442,1
Jobs,CHE,Switzerland,14023.26158,46.818188,8.227512,756,2
Jobs,ISL,Iceland,13798.96883,64.963051,-19.020835,352,3
Jobs,USA,United States,13282.50736,37.09024,-95.712891,840,4
Jobs,IRL,Ireland,12827.05688,53.41291,-8.24389,372,5
Jobs,AUS,Australia,12219.80348,-25.274398,133.775136,36,6
